INSTITUTIONAL PRICE ACTION — PATTERN REFERENCE COMPENDIUM (MASTER FILE v3.0),,,,,,,,,,,,
"Sources: / CMS + Cameron, Velez, Minervini, O'Neil, SMC/ICT + Volume Profile + Session-Based Volume Profile  |  For Trading Use Only — Alpha Data Architects Group Designed by Bayat",,,,,,,,,,,,
#,Pattern Name,Category,Structure / Shape,Bias,Entry Trigger,Key Level(s),Stop Logic,Target Logic,Trader Notes / Edge,Example / Visual Description,Volume Confirmation,Session VP Confirmation
1,QM Quick Retest,Quasimodo (QM),HH-H-L-LL swing; price retests QML immediately after break,Bearish,Short at QML on first retest candle,QML = Last Higher-Low before the LL,Above QML / prior HH,LL zone or next demand,"Fast, aggressive retest; high-probability reversal if QML holds","EURUSD 15m: Price breaks prior LL, immediately retests last HL (QML) with bearish pin bar. Short taken; 40-pip drop into demand.",Volume spike + long upper wick rejection at QML confirms institutional supply. Decreasing volume on follow-through strengthens reversal. VP: Rejection at HVN or above POC inside VA = strong supply.,Session VP: London or NY session POC rejection at QML = highest-conviction reversal. Avoid if inside Asian SVP Value Area.
2,QM Late Retest,Quasimodo (QM),Same QM structure; retest occurs much later after LL,Bearish,Short at QML on delayed retest,QML + LL,Above QML,LL or macro demand,Slower formation; still valid; watch for IQM scenario,GBPJPY 1H: Price drifts sideways 4 hrs then retests QML with doji rejection. 80-pip move lower.,Moderate volume on retest (no spike) + lower volume on drift confirms weak buying. Avoid if volume expands on retest. VP: Retest at LVN outside VA = high-probability reversal.,Session VP: Retest aligns with previous London SVP VAL or NY open LVN = accelerated move expected.
3,DM Shadow,QM Variant,Bearish/bullish candle cluster at QML (shadow pattern),Bearish,Short on shadow candle confirmation at QML,QML + candle shadow zone,Above shadow wicks,Prior LL,Shadow = institutional rejection candle; confirms supply,AUDUSD 5m: Bearish cluster with long upper wicks at QML. Short on close; rapid reversal.,Multiple rejection wicks with elevated volume = institutional selling cluster. VP: Shadow cluster at HVN or POC = strong institutional supply confirmation.,Session VP: London open DM Shadow at London SVP POC = ultra-high probability. Avoid shadows forming inside Asian SVP VA mid-session.
4,Continuation QM,Quasimodo (QM),QM forms mid-trend; acts as continuation not reversal,Trend-Directional,Enter at QML in direction of prevailing trend,QML within the trend,Beyond QML,Trend extension target,Distinguish from reversal QM by context — continuation QMs form inside trends,NASDAQ 5m uptrend: Small QM forms inside trend; QML holds as support. Long in trend direction.,Volume should contract at QML retest then re-expand on continuation. VP: QML aligns with VAL or POC inside up-trending structure = trend continuation confirmed.,Session VP: Continuation QM at NY SVP VAL (bull) or VAH (bear) = strongest trend continuation filter; momentum favors trend.
5,QM Re-Entry,Quasimodo (QM),Price sweeps small QML then returns to main QML for entry,Bearish,Enter at Main QML after small QML is taken,Main QML + small QML,Above Main QML,LL or macro demand,Two-tier QM; small QML is a fakeout inducing premature longs,"USDJPY 15m: Small QML swept (traps longs), returns to main QML for clean rejection.",Volume spike on small QML sweep = stop hunt confirmed; volume decreases on return to main QML = absorption. VP: Main QML at HVN = distribution zone; small QML sweep = retail trap.,Session VP: Small QML sweep during Asian session + main QML rejection at London SVP POC = textbook institutional re-entry.
6,Ignored QM (IQM/QMTR),Quasimodo (QM),"QML tested but not respected; price pushes through, sets trap",Bullish Reversal,Wait for fakeout above IQML then reverse,IQML = Ignored QM Level,Above IQML,Demand zone below,IQM signals failed supply; fakeout entry traps shorts,"EURGBP 1H: QML broken aggressively (fakeout), price reverses sharply from demand. Short after sweep.",Volume expansion through IQML (fakeout) then immediate volume collapse = institutional trap confirmed. VP: IQML break through LVN then reversal from HVN above = failed auction.,Session VP: Fakeout through IQML occurs in low-volume Asian session; reversal at London open SVP POC = highest-conviction IQM entry.
7,2R/2S Fakeout,Fakeout,Double resistance test; price fakes above R-R zone then reverses,Bearish,Short after second failed breakout above R-R,R zone (double resistance),Above second R wick,S zone below,R-R = double supply test; 2R/2S is exhaustion signal,"SPX 5m: Price breaks R1 then R2 (stop hunt), both fail with long upper wicks. Short on second rejection.",Volume on second R test must be lower than first — divergence = exhaustion. VP: Both R tests at or above HVN = strong institutional supply ceiling.,Session VP: Second resistance test at NY SVP VAH = distribution confirmed. Avoid if second test occurs outside session VA during low-volume periods.
8,V Twin,Continuation / Reversal,Two V-shaped reversals at same support; forms double bottom variant,Bullish,Long after second V-bottom holds support,V-bottom support zone,Below second V low,Resistance above,Two sequential selling climaxes; second is weaker — institutional absorption,GBPUSD 30m: Two sharp V-bottoms at same demand zone; second has lower volume. Long taken; strong rally.,Second V-bottom must show lower volume than first = absorption confirmed; volume expansion on reversal candle = institutional buy. VP: V-bottoms at HVN or POC = demand floor validated.,Session VP: V Twin forming at London SVP VAL or NY SVP VAL = session demand floor; high-probability long setup during active session hours.
9,Flag B,Flag Pattern,Consolidation channel after impulse; price breaks supply/demand at flag limit,Trend-Directional,Enter on break of Flag Limit (supply or demand),Flag Limit = top/bottom of flag,Beyond flag limit,Measured flag move,Flag B is a single flag; R1/R2 = internal flag structure levels,"EURUSD 5m uptrend: Impulse up, tight flag consolidation; breaks flag limit with engulfing candle.",Volume contraction inside flag + expansion on flag limit breakout = classic institutional accumulation. VP: Breakout above flag through LVN = fast momentum move; stall at HVN = partial target.,Session VP: Flag B breakout through NY SVP VAH (bull) = momentum continuation into NY session. London SVP flag breakout = strongest forex continuation signal.
10,Flag A + Flag B,Flag Pattern,"Two-flag sequence; Flag A sets direction, Flag B continues",Trend-Directional,Enter at Flag B Limit in direction of Flag A break,Flag A & B limits; S-S-S demand zone,Below Flag B limit,Measured two-flag projection,Combined flags amplify momentum; high-conviction continuation setup,"NASDAQ 15m: Flag A breaks up, followed immediately by Flag B; clean break of Flag B limit. Strong long.",Volume: contraction in both flags + strongest expansion on Flag B breakout = institutional load confirmed. VP: Flag B breaks through LVN = air pocket for fast measured move.,Session VP: Flag A+B sequence straddling London/NY session open = cross-session momentum; strongest when Flag B breaks NY SVP VAH.
